P_{w;su;exp},T_{w;su;exp},P_{w;ex;exp},T_{w;ex;exp},N_{rot},R_{elec},T_{amb},M_{dot;w},W_{dot;el;exp},T_{exp;sideVolute},T_{exp;backVolute},T_{exp;shaft},T_{exp;exShaftUp},T_{exp;exShaftLeft},epsilon_s
4.630405156,186.2910013,1.047519136,88.61225442,7083.816683,3.8,42.70701741,4.974308306,242.0548966,122.6930907,128.4807036,159.3023743,134.0507218,131.2881732,18.28762493
4.586307007,189.4008852,1.046866519,88.66748137,7921.194485,5,42.489613,5.001263573,238.7058827,124.1043122,131.2221368,157.4183566,139.9984313,135.0735136,17.95056991
5.551486025,184.6115664,1.029099592,87.311715,2313.747161,0.6,30.39954024,5.149316844,189.0115847,117.6891457,104.8369785,101.1194269,104.9543491,103.2105161,12.33638757
5.850606083,186.5478062,1.032758368,87.79690661,2115.04615,0.4,31.48578649,5.16849817,205.6798043,123.2241827,109.9095814,102.5736936,108.6847297,106.2068068,12.99741583
6.255974705,184.7323716,1.039083388,88.29928822,1583.533875,0.2,32.79748332,5.241632526,174.621698,126.9413595,113.1179829,115.5644167,115.3348944,112.1441702,10.57204416
7.164883026,189.7887861,1.046464422,88.5341748,754.4760271,0.1,33.93226609,5.202701511,93.20258191,133.2595706,117.2060355,117.2828094,119.3189759,115.7867091,5.306764869
5.588343839,185.4674914,1.053717383,88.64210193,3271.143206,0.8,35.23316447,5.250711178,269.1510719,122.7445123,115.6795236,127.3136799,119.9863028,118.3744593,17.36377465
5.769768414,186.741861,1.056191303,88.80714372,2859.894609,0.6,35.85050369,5.157636536,253.3746058,123.9757717,116.2360941,126.7296834,120.20986,118.4880941,16.34881738
5.373866426,186.5983628,1.059193389,89.01869811,3935.227604,1,36.44799181,5.206460367,300.0199326,122.1973507,116.7980438,129.9144012,121.390041,119.9730472,19.96998052
5.204714738,184.3677996,1.060247765,88.89400751,4295.614117,1.2,36.96868449,5.285498044,294.1096077,121.7160445,117.5004373,133.4576908,122.1268473,120.4202145,19.70864768
4.890638502,180.0190121,1.061569844,89.07345463,4875.583306,1.6,37.44950802,5.208303133,285.3687432,119.7557713,117.7788518,136.009805,122.8628814,121.0345515,20.26505912
4.757210703,182.3863373,1.060602497,89.10934614,5605.733566,2.1,37.92027056,5.06167619,286.222351,119.3886236,119.0622959,139.9032359,124.4806179,122.589408,21.18323372
4.690971342,183.9699892,1.059870917,89.1460543,6584.318563,2.8,38.26733476,5.263002672,305.8264339,118.929121,120.3994304,143.7525404,126.2352693,124.5612455,21.89545928
4.563355563,183.2208279,1.059821254,89.19617097,7669.819744,3.8,38.61294893,5.245811468,300.7452959,118.6663994,122.5619269,148.5623797,129.7558861,126.5276051,21.99807344
4.502701408,183.3343501,1.060098322,89.20146321,8344.625134,5,38.85123027,5.143410057,279.8790552,118.2896346,125.9047052,152.9921044,134.2064563,129.1962391,21.0554542
5.134424421,187.5756425,1.063163152,89.49699198,6790.468108,2.1,39.46892168,5.634761932,392.5121494,119.218202,122.4630373,146.1324847,129.2631995,126.488279,24.79005905
5.128120986,190.6875849,1.065983558,89.62592531,7506.169223,2.8,39.84939643,5.741880758,415.842691,119.3350674,123.6376924,149.0041385,130.5807762,127.6488,25.71288996
5.059766949,191.037446,1.067409881,89.74139876,8404.852352,3.2,40.18524461,5.971121617,403.4137911,119.4179091,127.0522868,155.2905321,134.6610404,130.8634782,24.17943367
5.296336947,189.6596937,1.020180726,87.88991272,5500.515102,1.6,38.32138462,5.71194985,362.0479847,116.3714975,113.2090399,131.6193721,117.0902911,109.1781852,21.59841223
5.518076464,189.848908,1.022978354,88.02240488,5113.38382,1.2,38.94611298,5.774741639,404.9089401,120.6592782,117.744746,135.1818182,122.9265215,119.1879043,23.39537619
5.712161403,190.864716,1.031788092,89.04739934,4596.369245,1,39.27105668,5.859134938,391.9261758,121.8472018,118.1773199,133.1741365,123.362639,121.1132855,21.98038019
5.879785445,189.9132619,1.041363517,89.25194185,3977.71832,0.8,39.75554262,5.7829866,369.778189,123.3509478,118.5567991,131.8706719,123.2004573,121.6624475,20.82255466
6.186373343,195.2298071,1.048643237,89.29275407,3598.42141,0.6,40.16174179,5.740568913,376.601328,126.0687374,119.7056208,131.8811466,123.8491027,122.1892459,20.7326928
6.439676547,194.007941,1.059576266,89.57638355,2918.199313,0.4,40.76063811,5.78510546,329.0610515,127.9299463,120.8191163,129.9166684,124.6862437,123.0456535,17.73986462
6.773042874,189.1474976,1.063663921,90.99023502,2084.762303,0.2,41.2260011,5.810063417,260.5798786,130.8974263,122.3049597,128.6147757,125.9013716,124.1286387,13.76169726
7.658182415,190.5107239,1.064681119,91.23121617,931.3137959,0.1,41.56917539,5.845610977,123.6485205,136.6770342,124.2361857,127.2490054,126.5983396,124.6682444,6.120005791
7.98868651,188.1855358,1.076849965,92.29336617,988.4674177,0.1,42.40666763,6.248835627,135.4088452,136.5305386,125.2406867,128.2413608,127.8624419,126.0558249,6.201953945
6.909872409,182.9330931,1.080977682,92.67672431,2091.688606,0.2,42.70544471,6.102397394,258.6293406,128.9249741,122.0702483,129.1878385,125.7959199,124.138551,13.08454897
6.127113646,178.9853045,1.082842285,92.53557197,3396.299971,0.6,43.06526134,6.296568281,327.3460625,121.4008536,118.0700279,130.4039948,122.678198,121.1444429,17.1559787
5.750290769,179.5702838,1.083374068,92.23371095,4568.571992,1,43.21274935,6.420614632,371.8156667,118.775521,117.7276776,132.455323,123.229679,121.6812893,19.76080701
5.475658078,177.8204821,1.085144432,91.74061568,5536.10591,1.4,43.53722572,6.428772424,387.3455644,116.4998625,118.1978511,136.4605513,124.2606613,122.7266271,21.19487191
5.277325941,177.4873078,1.085881292,91.77020383,6795.058964,2.1,43.78715927,6.49374799,392.9676234,113.9222678,118.708843,142.9740678,125.6066087,123.649557,21.75969989
5.141387045,180.9213338,1.08623022,91.96556457,7505.042829,2.8,44.06433168,6.491554333,374.1866149,115.9060945,122.3776407,150.5359769,129.2595686,126.6668964,20.94991985
7.022599349,205.2594375,1.094565572,96.5628729,2711.640303,0.4,28.08095544,6.254474251,344.8194196,129.8315862,112.8265153,103.2361742,109.3436285,107.6307683,16.48250671
7.570822394,203.8682435,1.106030775,98.28140469,3059.314892,0.4,29.74516181,6.982979081,419.8486405,131.0098884,117.3706855,120.8012492,121.5495766,112.0487704,17.47384097
7.717288618,209.1714787,1.109751417,102.4894302,3220.381749,0.474193548,30.86934095,7.053298949,406.7659661,139.2087024,126.6061238,133.0631056,130.6719773,128.8679866,16.51639624
8.951789671,209.9535824,1.108991187,103.0669438,1030.306462,0.1,32.0326944,6.974343129,170.0430976,147.4869081,128.3225537,127.601103,131.0277347,129.0719537,6.537963497
7.250701521,209.2602892,1.111366418,103.3713529,3993.614584,0.6,33.05548663,7.080103911,501.0512567,137.5037422,127.9127561,136.9818705,132.4268723,131.2042488,20.86988146
6.957823878,208.7428845,1.110209643,103.2317371,4597.387317,0.8,33.84818609,7.067550939,522.1815532,134.7308755,127.3113669,140.6334691,132.4772829,130.2918835,22.22506737
6.705226982,209.1019037,1.109640843,103.0369796,5473.053984,1,34.79993619,7.042311566,571.6874329,133.3421072,127.8782735,143.8555338,133.0507229,131.2353964,24.84220157
6.537345366,206.884241,1.109899143,103.0769435,5950.971291,1.2,35.54230196,7.093354205,552.2240544,132.725906,129.0111085,148.3895751,134.3008662,132.4410988,24.20684698
6.265331661,207.6681509,1.109235677,102.6358027,7007.51186,1.6,36.77425482,7.051490585,560.2837883,131.2373867,130.5806758,154.5650581,137.0963109,133.9511244,25.20465131
6.345383506,210.4406752,1.108302214,102.4574133,8083.604105,2.1,37.38045125,7.007462003,557.9738059,131.2730277,137.4114267,163.2813119,147.2752815,140.132043,24.97981297
7.083867735,212.8318912,1.127029832,103.7395136,7089.645424,1.2,38.83593065,7.964893162,718.8477934,133.8911361,134.9090931,157.1931654,141.6753753,138.2963822,26.94736863
